#Filter ID	λmean	λeff	λmin	λmax	Weff	ZP (Jy)	Obs. Facility	Instrument	Description
SOFIA/HIPO.r_sdss_d675	6219.4	6141.2	5414	6977	1118.5	3148.3	SOFIA	HIPO	HIPO r_sdss (dichroic 675)
LaSilla/GROND.r	6220.1	6098.0	5084	7172	1559.9	3152.7	La Silla	GROND	GROND r' filter
VATT/VATT.r_sdss	6221.2	6146.9	5394	7059	1265.6	3146.8	VATT	 	VATT r' sdss filter
ING/ING.136	6222.9	6211.3	5881	6600	452.8	3175.2	ING	 	ING filter 136, T6240
GTC/HIPERCAM.r_s_noatm	6223.0	6147.6	5470	6958	1228.6	3145.1	GTC	HiPERCAM	Super SDSS r_s filter (no atm.)
HST/WFPC2-PC.F622W	6224.6	6146.4	5364	7030	1211.2	3144.2	HST	WFPC2	F622W filter for HST WFPC2 planetary camera (detector 1)
HST/WFPC2-WF.F622W	6224.6	6146.4	5364	7030	1211.4	3144.2	HST	WFPC2	F622W filter for HST WFPC2 wide field camera (detector 4)
McD/DIAFI.sdss_r	6225.3	6150.1	5395	7083	1270.9	3145.1	McDonalds	DIAFI	DIAFI sdss_r filter
WIYN/NESSI.r	6225.5	6136.0	5351	7010	1333.9	3146.5	WIYN	NESSI	NESSI sdss r band (filter+ccd)
HST/WFC3_UVIS1.F621M	6226.5	6207.9	5819	6619	598.2	3163.3	HST	WFC3	F621M filter for HST WFC3_UVIS1
ING/ING.216	6226.5	6150.4	5431	7044	1214.2	3146.6	ING	 	ING filter 216, SloGunR
HST/WFC3_UVIS2.F621M	6226.7	6208.2	5819	6619	596.8	3163.1	HST	WFC3	F621M filter for HST WFC3_UVIS2
LICK/LICK.6228_72	6229.7	6229.3	6150	6318	81.4	3177.2	LICK	 	LICK, 6228_72
INT/WFC.Gunn_r	6229.9	6154.2	5446	7047	1219.4	3145.6	INT	WFC	Sloan Gunn r
ING/ING.214	6230.0	6154.2	5446	7046	1219.7	3145.6	ING	 	ING filter 214, WFCSloanR
INT/IPHAS.gR	6230.0	6154.2	5446	7047	1219.7	3145.6	INT	WFC	IPHAS gR
GTC/HIPERCAM.r_s	6230.1	6154.6	5471	6958	1194.2	3140.5	GTC	HiPERCAM	Super SDSS r_s filter (full)
TNT/ULTRASPEC.r_filter	6231.0	6150.7	5346	7088	1226.9	3141.4	TNT	ULTRASPEC	SDSS r' (filter only)
IAC80/CAMELOT.sdss_r	6231.1	6142.1	5329	7012	1363.0	3145.1	IAC80	CAMELOT	IAC80 telescope, CAMELOT SDSS r filter
Subaru/HSC.r2_filter	6231.1	6131.3	5021	7217	1518.2	3146.5	Subaru	HSC	HSC r2 (filter only)
LBT/LBCB.sdss-r_2	6231.5	6150.9	5371	7091	1331.6	3143.3	LBT	LBC	LBC Blue SDSS r filter
CAHA/CAHA.625_20	6233.4	6232.3	6128	6344	150.7	3174.5	CAHA	 	CAHA 625.20
Subaru/HSC.r	6234.1	6136.2	5272	7190	1481.3	3144.4	Subaru	HSC	HSC r (full transmission)
WIYN/NESSI.r_filter	6234.1	6144.2	5351	7012	1286.3	3141.5	WIYN	NESSI	NESSI sdss r band (filter only)
Subaru/Suprime.IB624	6234.6	6230.0	5984	6495	295.1	3173.0	Subaru	Suprime	Suprime IB624 filter (full transmission)
LasCumbres/LasCumbres.PS_w	6234.7	5484.5	3980	8538	4357.6	3088.3	LasCumbres	 	Las Cumbres Observatory PAN-Starrs w filter
MMT/MMTCam.r	6234.8	6122.9	5336	7113	1513.0	3144.2	MMT	MMTCam	MMTCam r filter
LasCumbres/LasCumbres.SDSS_rp	6235.3	6151.1	5435	7086	1400.7	3142.6	LasCumbres	 	Las Cumbres Observatory SDSS r' filter
Subaru/HSC.r_filter	6238.4	6136.6	5325	7071	1381.7	3142.1	Subaru	HSC	HSC r (filter only)
PAN-STARRS/PS1.r	6241.3	6156.4	5386	7036	1252.4	3135.5	PAN-STARRS	PAN-STARRS	PS1 r filter
LSST/LSST.r_filter	6241.9	6156.7	5375	7055	1278.0	3136.9	LSST	LSST	LSST r filter (filter only)
TNT/ULTRASPEC.r_noatm	6243.3	6160.7	5345	7090	1142.7	3133.9	TNT	ULTRASPEC	SDSS r' filter (no atm.)
TNO/ULTRACAM.r	6243.9	6166.3	5438	7141	1304.4	3136.4	TNO	ULTRACAM	ULTRACAM SDSS r'
CAHA/CAHA.624_11	6246.8	6246.1	6123	6369	119.1	3168.8	CAHA	 	CAHA 624.11
Liverpool/RISE.VR	6247.1	6021.8	5007	8548	1904.5	3146.9	Liverpool	RISE	RISE V+R filter
Liverpool/RATCam.sdss-r	6248.1	6163.8	5423	7022	1294.9	3136.1	LT	RATCam	RATCam SDSS r' filter
GTC/HIPERCAM.r_s_filter	6248.8	6167.5	5456	6997	1259.0	3133.4	GTC	HiPERCAM	Super SDSS r_s filter (filter only)
LBT/LBCB.sdss-r_1	6250.8	6174.8	5427	7089	1281.8	3132.1	LBT	LBC	LBC Blue SDSS r filter
TNT/ULTRASPEC.r	6250.9	6168.5	5346	7091	1105.1	3129.1	TNT	ULTRASPEC	SDSS r' filter (full)
WHT/ULTRACAM.r_s_filter	6252.8	6171.6	5460	7001	1259.1	3131.3	WHT	ULTRACAM	Super SDSS r_s filter (filter only)
WHT/PAUCam.NB625	6253.0	6252.2	6155	6350	132.6	3165.7	WHT	PAUCam	PAUCam NB625 filter
Subaru/Suprime.r_filter	6253.7	6165.2	5390	7195	1382.3	3132.4	Subaru	Suprime	Suprime r'
Paranal/OmegaCAM.r_CAL	6255.4	6164.5	5405	7066	1410.6	3132.3	Paranal	OmegaCAM	VST, OmegaCAM r_SDSS calibration filter. Central transmission. (filter+CCD)
GTC/HIPERCAM.r_noatm	6256.2	6186.8	5476	6987	1164.8	3126.1	GTC	HiPERCAM	SDSS r' filter (no atm.)
IAC80/CAMELOT.iac38	6257.2	6257.2	6226	6288	31.1	3160.3	IAC80	CAMELOT	CAMELOT iac38 [OI] cont. interference filter
Rosetta/OSIRIS_NAC.F31	6257.7	5537.0	2805	8500	3648.2	2952.0	Rosetta	OSIRIS_NAC	OSIRIS_NAC F31 Filter (full)
LSST/LSST.r	6257.7	6173.2	5376	7055	1206.9	3127.0	LSST	LSST	LSST r filter (full)
CTIO/Y4KCam.sdss_r	6258.5	6177.4	5435	6996	1292.1	3129.6	CTIO	Y4KCam	Y4KCam SDSS r' filter
LCO/CSP2.r	6261.6	6181.6	5391	7076	1155.0	3124.1	LCO	Swope	CSP2 r filter on Swope e2v CCD (full)
LCO/e2v.r	6261.6	6181.6	5391	7076	1155.0	3124.1	LCO	e2v	LCO, swope e2v ccd r filter (full) (since 2013)
LCO/e2v.i	6261.6	6181.6	5391	7076	1155.0	3124.1	LCO	e2v	LCO, swope e2v ccd i filter (full) (since 2013)
GTC/HIPERCAM.r	6262.8	6193.5	5477	6987	1135.5	3121.8	GTC	HiPERCAM	SDSS r' filter (full)
LICK/LICK.6250_400	6262.8	6254.6	5919	6644	375.6	3152.0	LICK	 	LICK, 6250_400
CTIO/SOI.sdss_r	6264.2	6181.7	5399	7092	1334.2	3126.9	CTIO	SOI	SOI SDSS r' filter
LCO/CSP.r	6264.6	6185.6	5398	7042	1130.1	3122.6	LCO	SITe3	CSP r filter on Swope Site#3 CCD (full)
LCO/SITe3.r	6264.6	6185.6	5398	7042	1130.1	3122.6	LCO	SITe3	LCO, Swope SITe3, r
LICK/LICK.6269_73	6265.7	6265.4	6188	6349	75.0	3158.1	LICK	 	LICK, 6269_73
CAHA/LAICA.SDSS_r	6269.9	6186.5	5419	7183	1361.6	3124.2	CAHA	LAICA	LAICA SDSS r
Paranal/OmegaCAM.r_CAL_filter	6269.9	6178.4	5406	7071	1336.9	3124.2	Paranal	OmegaCAM	VST, OmegaCAM r_SDSS calibration filter. Central transmission. (filter only)
CTIO/MosaicII.rSDSS	6271.5	6188.8	5430	7021	1294.5	3122.3	CTIO	MosaicII	CTIO r SDSS c6018
CFHT/CFHT.cfh9601	6274.2	6207.8	5427	7042	1097.7	3117.3	CFHT	 	cfh9601, Megaprime R'
CFHT/Megaprime.r	6274.2	6208.0	5427	7042	1097.3	3117.2	CFHT	Megaprime	Megaprime R', cfh9601
Paranal/SPHERE.ZIMPOL_R_PRIM	6278.1	6187.4	5410	7090	1425.4	3120.8	Paranal	SPHERE	ZIMPOL R_PRIM filter
CFHT/MegaCam.r_1	6278.2	6207.9	5394	7046	1120.2	3115.3	CFHT	MegaCam	MegaCam 1st generation r filter (installed in 2002, valid until 2015).
FLWO/KeplerCam.r_old	6280.3	6181.9	5345	7255	1410.6	3120.0	FLWO	KeplerCam	KeplerCam sdss r' old filter
LBT/MODS.sdss_r	6284.0	6203.1	5435	6996	1217.1	3114.8	LBT	MODS	MODS sdss r filter
WHT/ULTRACAM.r_s_noatm	6285.4	6209.6	5483	7002	1150.5	3113.3	WHT	ULTRACAM	Super SDSS r_s filter (no atm.)
SLOAN/SDSS.rprime_filter	6287.1	6202.6	5405	7172	1253.7	3112.9	SLOAN	 	SDSS r' filter (filter only transmission) at USNO 40-in
KPNO/MOSAIC.r_sdss	6287.6	6197.8	5427	7089	1382.6	3116.9	KPNO	MOSAIC	KPNO Mosaic SDSS r filter (k1018)
Messenger/MDIS_WAC.630BP5	6288.2	6288.0	6227	6350	55.2	3148.1	Messenger	MDIS	Messenger MDIS WAC 630BP5 (E) filter
Paranal/OmegaCAM.Halpha_aux	6289.5	6199.2	5359	7185	1320.7	3112.9	Paranal	OmegaCAM	VST, OmegaCAM Halpha filter for auxiliary ccd. Central transmission. (filter+CCD)
HST/WFC3_UVIS2.F625W	6290.2	6187.5	5414	7138	1438.9	3114.5	HST	WFC3	F625W filter for HST WFC3_UVIS2
HST/WFC3_UVIS1.F625W	6290.9	6188.3	5414	7138	1441.3	3114.1	HST	WFC3	F625W filter for HST WFC3_UVIS1
OAJ/JPAS.rSDSS	6291.2	6195.2	5326	7069	1373.4	3631.0	OAJ	JPCam	J-PAS r SDSS-like
WHT/ULTRACAM.r_s	6291.4	6216.0	5485	7002	1107.7	3109.4	WHT	ULTRACAM	Super SDSS r_s filter (full)
SOFIA/FPI.r_sdss	6293.0	6221.5	5605	6968	1260.2	3109.6	SOFIA	FPI	FPI+ SDSS r' filter
AAO/AAO.aao91	6293.1	6209.0	5432	7077	1325.9	3112.1	AAO	 	AAO #91, r t, r
OAJ/JPLUS.rSDSS_filter	6293.5	6197.7	5368	7073	1344.1	3631.0	OAJ	T80Cam	J-PLUS r SDSS-like (filter only)
CTIO/CTIO.6301-10	6294.0	6294.0	6273	6316	13.3	3146.3	CTIO	 	CTIO 6301/10
Paranal/SPHERE.ZIMPOL_OI_630	6294.8	6294.6	6230	6360	54.6	3145.3	Paranal	SPHERE	ZIMPOL OI_630 filter
GTC/HIPERCAM.r_filter	6296.0	6218.9	5466	7169	1214.0	3107.8	GTC	HiPERCAM	SDSS r' filter (filter only)
HST/WFPC1-PC.F122M	6296.4	5060.0	1150	10588	5171.7	2429.3	HST	WFPC1	F122M filter for HST WF/PC-1 planetary camera (detector 6)
Rosetta/OSIRIS_WAC.F12	6296.5	6197.0	5367	7236	1420.4	3110.5	Rosetta	OSIRIS_WAC	OSIRIS_WAC F12 Filter (full)
NOT/NOT.084	6298.5	6212.0	5462	7132	1324.9	3109.8	NOT	 	NOT filter 084, r'_SDSS 625_140
LBT/LBCR.sdss-r	6299.4	6232.9	5544	7054	1217.4	3105.4	LBT	LBC	LBC Red SDSS r filter
WHT/ULTRACAM.r_filter	6300.1	6223.0	5470	7173	1214.1	3105.8	WHT	ULTRACAM	SDSS r' filter (filter only)
ING/ING.137	6300.3	6300.2	6271	6331	24.4	3142.4	ING	 	ING filter 137, T6303
ING/ING.084	6301.5	6301.4	6261	6344	50.5	3141.6	ING	 	ING filter 084, O6298
OAJ/JPLUS.rSDSS	6302.1	6207.1	5355	7130	1373.8	3631.0	OAJ	T80Cam	J-PLUS r SDSS-like (full transmission)
NOT/NOT.087	6303.0	6302.9	6254	6354	32.7	3140.6	NOT	 	NOT filter 087, [OI] 630_3
FLWO/KeplerCam.r	6303.5	6200.0	5309	7117	1387.2	3107.0	FLWO	KeplerCam	KeplerCam sdss r' filter
HST/WFC3_UVIS1.F631N	6304.3	6304.1	6264	6347	58.1	3140.0	HST	WFC3	F631N filter for HST WFC3_UVIS1
HST/WFC3_UVIS2.F631N	6304.3	6304.1	6264	6347	58.0	3140.0	HST	WFC3	F631N filter for HST WFC3_UVIS2
CFHT/CFHT.cfh1618	6304.5	6304.4	6255	6354	31.3	3139.6	CFHT	 	cfh1618 General Purpose
Gemini/GMOS-N.r	6304.6	6224.5	5500	7200	1319.3	3105.0	Gemini	GMOS-N	GMOS-N r, G0303
Paranal/OmegaCAM.Halpha_aux_filter	6304.8	6213.7	5361	7191	1292.6	3104.4	Paranal	OmegaCAM	VST, OmegaCAM Halpha filter for auxiliary ccd. Central transmission. (filter only)
Rosetta/OSIRIS_NAC.FFP_IR	6305.7	5477.6	2618	8500	3421.2	2709.1	Rosetta	OSIRIS_NAC	OSIRIS_NAC FFP_IR Filter
HST/WFPC1-WF.F631N	6306.4	6306.3	6254	6350	29.3	3138.5	HST	WFPC1	F631N filter for HST WF/PC-1 wide field camera (detector 2)
HST/WFPC1-PC.F631N	6306.4	6306.3	6254	6350	29.3	3138.5	HST	WFPC1	F631N filter for HST WF/PC-1 planetary camera (detector 6)
HST/WFPC2-PC.F631N	6306.5	6306.4	6272	6340	42.2	3138.6	HST	WFPC2	F631N filter for HST WFPC2 planetary camera (detector 1)
HST/WFPC2-WF.F631N	6306.5	6306.4	6272	6340	42.2	3138.6	HST	WFPC2	F631N filter for HST WFPC2 wide field camera (detector 4)
IAC80/CAMELOT.iac37	6306.6	6306.6	6275	6338	31.0	3138.4	IAC80	CAMELOT	CAMELOT iac37 [OI] interference filter
Rosetta/OSIRIS_WAC.F17	6307.2	6306.8	6222	6401	51.4	3137.6	Rosetta	OSIRIS_WAC	OSIRIS_WAC F17 Filter (full)
Rosetta/OSIRIS_WAC.OI	6307.3	6306.9	6223	6400	49.5	3137.2	Rosetta	OSIRIS_WAC	OSIRIS_WAC OI Filter
CAHA/CAHA.630_10a	6307.5	6306.8	6191	6427	108.5	3135.3	CAHA	 	CAHA 630.10a, [O I]
NOT/NOT.047	6308.7	6308.5	6238	6384	51.7	3136.5	NOT	 	NOT filter 047, [OI] 631_4
AAO/AAO.aao56	6309.1	6309.0	6267	6350	42.0	3137.0	AAO	 	AAO #56, taurus 631.4, [O I]
CAHA/CAHA.630_10b	6310.2	6309.5	6194	6428	109.0	3133.6	CAHA	 	CAHA 630.10b, [O I]
OSN/Lines.OI_6300	6310.2	6309.9	6228	6386	64.3	3135.2	OSN	 	OI_6300 filter, OSN #e15
P200/LFC.sdss_r_filter	6310.2	6221.1	5427	7086	1340.6	3103.8	Palomar	LFC	LFC sdss r' filter (filter only)
ING/ING.176	6311.3	6311.0	6229	6401	59.6	3134.6	ING	 	ING filter 176, O6310
LICK/LICK.6300_45	6312.6	6312.3	6215	6398	64.5	3133.5	LICK	 	LICK, 6300_45
OAJ/JPAS.J0630	6313.3	6312.4	6218	6410	147.5	3631.0	OAJ	JPCam	JPAS J0630 filter
Keck/LRIS.OG570	6313.4	6222.4	4401	6947	1224.2	3094.7	Keck	LRIS	Keck LRIS OG570 filter
OAO/MuSCAT.rp2	6314.7	6243.6	5601	6999	1236.2	3098.3	OAO	MuSCAT	MuSCAT r' generation-2 filter
Subaru/Suprime.r	6314.8	6231.7	5432	7193	1211.4	3097.0	Subaru	Suprime	Suprime r' filter (full transmission)
LICK/LICK.6310_73	6315.0	6314.7	6233	6398	78.5	3131.5	LICK	 	LICK, 6310_73
P200/LFC.sdss_r	6315.7	6227.6	5428	7085	1319.6	3100.5	Palomar	LFC	LFC SDSS r' filter (filter+ccd)
CAHA/CAHA.631_1	6316.0	6316.0	6299	6333	11.3	3132.3	CAHA	 	CAHA 631.1, [O I]
CAHA/CAHA.632_1	6316.1	6316.1	6301	6331	8.6	3132.2	CAHA	 	CAHA 632.1, [S III]
WHT/ULTRACAM.r_noatm	6323.2	6249.8	5488	7180	1146.7	3093.4	WHT	ULTRACAM	SDSS r' filter (no atm.)
Mars2020/MastCamZ.Red	6324.0	6244.4	4250	6863	870.3	3073.3	Mars2020	MastCamZ	Mars2020 MastCam-Z Red normalized filter
Rosetta/OSIRIS_WAC.Red	6324.8	6223.8	5370	7247	1388.3	3095.4	Rosetta	OSIRIS_WAC	OSIRIS_WAC Red Filter
Paranal/OmegaCAM.r_SDSS	6326.0	6242.1	5397	7240	1313.4	3094.6	Paranal	OmegaCAM	VST, OmegaCAM r_SDSS_ filter. Central transmission. (filter+CCD)
NOT/NOT.125	6326.3	6323.1	6152	6522	261.4	3123.4	NOT	 	NOT filter 125, 633_26
WHT/ULTRACAM.r	6329.3	6256.2	5489	7178	1107.4	3089.5	WHT	ULTRACAM	SDSS r' filter (full)
WHT/ULTRACAM.z	6329.3	6256.2	5489	7178	1107.4	3089.5	WHT	ULTRACAM	SDSS z' filter (full)
Gemini/GMOS-S.r	6330.1	6244.7	5477	7211	1365.0	3093.7	Gemini	GMOS-S	GMOS-S r, G0326
HST/ACS_HRC.F625W	6336.0	6250.1	5442	7098	1274.1	3088.5	HST	ACS	F625W filter for HST ACS_HRC
CTIO/CTIO.6130-590	6337.0	6214.4	5726	12000	666.5	3114.6	CTIO	 	CTIO 6130/590
CTIO/CTIO.6330-100	6337.8	6337.4	6244	6432	89.4	3116.9	CTIO	 	CTIO 6330/100
CAHA/CAHA.633_11	6340.2	6339.5	6228	6453	110.3	3116.1	CAHA	 	CAHA 633.11
Paranal/OmegaCAM.r_SDSS_filter	6340.7	6256.0	5400	7246	1250.0	3086.7	Paranal	OmegaCAM	VST, OmegaCAM r_SDSS filter. Central transmission. (filter only)
Cassini/ISS_NAC.CB1b	6345.4	6344.6	6235	6474	119.6	3113.4	Cassini	ISS_NAC	Cassini ISS NAC CB1b filter (full)
NOT/NOT.094	6345.8	5380.0	3389	9085	5419.7	2867.4	NOT	 	NOT filter 094, WG345 356_LP
MMT/MegaCam.r_Mag	6346.1	6247.8	5465	7467	1411.9	3088.4	MMT	MegaCam	Megacam r' at Magellan
WHT/PAUCam.NB635	6348.3	6347.5	6252	6444	132.6	3112.2	WHT	PAUCam	PAUCam NB635 filter
LICK/LICK.6351_74	6348.5	6348.1	6266	6441	80.4	3110.2	LICK	 	LICK, 6351_74
HST/WFC3_UVIS1.FQ634N	6349.4	6349.1	6294	6407	64.0	3108.7	HST	WFC3	FQ634N filter for HST WFC3_UVIS1
HST/WFC3_UVIS2.FQ634N	6349.4	6349.1	6294	6407	64.0	3108.7	HST	WFC3	FQ634N filter for HST WFC3_UVIS2
NOT/NOT.048	6351.3	6351.1	6282	6420	47.9	3106.7	NOT	 	NOT filter 048, 635_4
Misc/ROTSE.R	6352.6	5497.2	3085	10000	4404.5	2969.1	ROTSE	ROTSE	ROTSE-III approximate response curve
HST/ACS_WFC.F625W	6352.6	6267.2	5443	7099	1231.7	3079.3	HST	ACS	F625W filter for HST ACS_WFC
CAHA/PlanetCam2.VIS_C1_filter	6352.6	6352.3	6266	6435	53.5	3106.3	CAHA	PlanetCam2	PlanetCam2, VIS, C1 band (filter only)
CAHA/PlanetCam2.VIS_C1	6352.6	6352.4	6266	6435	53.5	3106.3	CAHA	PlanetCam2	PlanetCam2, VIS, C1 band (filter + ccd)
CTIO/DECam.VR_filter	6354.4	6078.2	4895	7655	2215.5	3086.9	CTIO	DECam	DECam VR filter (filter only)
LCO/IMACS.WB4800	6359.2	6001.9	4624	8126	2930.6	3071.8	LCO	IMACS	LCO, IMACS, WB 4800-7800
Generic/Johnson_13col.63	6359.3	6349.1	6035	7115	326.5	3070.4	 	 	Johnson 13 colors 63 filter
Special/Meteor.S2	6360.0	6359.4	6300	6420	120.1	3105.2	 	 	Meteor project S2 filter. Main components: SiII(2)
NOT/NOT.004	6363.0	6275.0	5564	7647	1145.5	3080.4	NOT	 	NOT filter 004, R_Bes 631_121
MMT/MegaCam.r_MMT	6373.7	6285.9	5400	7303	1319.9	3071.4	MMT	MegaCam	Megacam r' at MMT
MMT/MegaCam.r_Mag_filter	6376.9	6275.2	5465	7471	1472.4	3072.7	MMT	MegaCam	Megacam r' at Magellan (filter only)
ING/ING.592	6377.7	6370.8	6149	6604	327.8	3060.8	ING	 	ING filter 592, HR638
INT/OASIS.HR638	6377.7	6370.9	6160	6600	327.3	3060.9	INT	OASIS	OASIS HR638, ING#592
LICK/LICK.6363_45	6386.0	6385.7	6302	6483	56.5	3090.9	LICK	 	LICK, 6363_45
LICK/LICK.6393_74	6393.4	6393.1	6309	6485	80.7	3087.0	LICK	 	LICK, 6393_74
CAHA/CAHA.639_13	6395.6	6394.7	6260	6533	120.4	3083.7	CAHA	 	CAHA 639.13
CAHA/CAHA.639_2	6397.0	6397.0	6369	6425	17.2	3089.0	CAHA	 	CAHA 639.2, [O I]
MMT/MegaCam.r_MMT_filter	6397.5	6307.3	5403	7317	1329.3	3059.5	MMT	MegaCam	Megacam r' at MMT (filter only)
CFHT/CFHT.cfh9602	6398.6	6310.2	5614	7208	1447.0	3059.7	CFHT	Megaprime	cfh9602, Megaprime r'
CFHT/Megaprime.r_sdss	6398.6	6310.2	5614	7208	1447.0	3059.7	CFHT	Megaprime	Megaprime r', cfh9602
KPNO/MOSAIC.rd_DECam	6400.3	6316.2	5610	7250	1417.5	3058.5	KPNO	 	KPNO Mosaic DECam rd filter (k1036)
GCPD/Washington.T1_pe	6400.9	6339.9	5617	7633	806.0	3056.2	 	 	Washington T1 filter in GCPD, photoelectric version (ADPS)
CFHT/CFHT.cfh1623	6405.1	6403.2	6205	6605	126.2	3070.9	CFHT	 	cfh1623 General Purpose
CAHA/BUSCA.Red	6405.4	6225.7	4873	8010	1861.9	3059.2	CAHA	BUSCA	BUSCA Red Band
OAJ/JPAS.J0640	6411.1	6410.2	6315	6508	146.5	3631.0	OAJ	JPCam	JPAS J0640 filter
Mercator/MAIA.r	6412.5	6336.2	5417	7098	1097.1	3045.3	Mercator	MAIA	MAIA r filter
TNG/OIG.R	6414.7	6273.5	5478	8597	1335.1	3058.5	TNG	OIG	OIG R
BOK/90prime.R	6417.5	6287.9	5473	8389	1292.7	3055.3	BOK	90prime	90prime R filter
TNG/TNG.TNG04	6417.5	6273.8	5434	8597	1338.1	3057.3	TNG	 	TNG filter #04. R band
Subaru/FOCAS.N642	6417.8	6417.0	6321	6516	125.7	3071.7	Subaru	FOCAS	FOCAS N642
CFHT/CFHT.cfh1613	6419.9	6419.5	6341	6499	74.0	3072.5	CFHT	 	cfh1613 General Purpose
Misc/AndromedA.Rcb	6422.1	6339.4	5550	7177	1376.8	3046.7	AndromedA	 	AndromedA observatory Chroma R Bessell filter
TJO/MEIA.Rc	6424.3	6304.6	5524	8324	1211.8	3052.4	TJO	MEIA	TJO, MEIA R Cousins filter, including telescope and CCD
HST/FGS.F650W	6425.5	6378.2	5810	7329	805.4	3037.7	HST	FGS	F650W (red) filter for HST FGS at y-axis
CFHT/MegaCam.r	6425.5	6336.5	5615	7218	1381.6	3045.5	CFHT	MegaCam	MegaCam 3rd generation r filter (installed in 2015)
IAC80/CAMELOT.R	6425.5	6285.1	5444	8516	1320.0	3053.6	IAC80	CAMELOT	IAC80 telescope, CAMELOT R filter
CTIO/CTIO.6152-625	6427.7	6254.9	5732	12000	714.5	3075.6	CTIO	 	CTIO 6152/625
LCO/IMACS.MMTF640ib	6428.0	6423.7	6203	6666	219.8	3027.2	LCO	IMACS	LCO, IMACS, MMTF 6399/206 ib
LICK/LICK.R	6429.8	6307.3	5400	8000	1333.4	3047.3	LICK	 	LICK R
GTC/OSIRIS.F643_filter	6431.2	6423.0	6050	6667	289.1	2971.4	GTC	Osiris	GTC, Osiris, F643 (filter only)
BOK/BASS.r	6431.3	6346.1	5614	7282	1311.5	3042.7	BOK	90prime	BASS r filter (full)
NOT/NOT.073	6431.7	5481.2	3584	9000	4936.2	2939.2	NOT	 	NOT filter 073, GG385 380_LP
GTC/OSIRIS.F643	6431.7	6423.4	6050	6669	287.6	2970.2	GTC	OSIRIS	GTC, OSIRIS, F643 filter (full trans)
Keck/LRIS.R	6432.8	6305.1	5550	8420	1233.6	3049.2	Keck	LRIS	Keck LRIS R filter
LCO/IMACS.MMTF6399	6433.0	6428.0	6201	6685	225.1	3015.3	LCO	IMACS	LCO, IMACS, MMTF 6399/206
Palomar/ZTF.r	6436.9	6339.6	5600	7317	1515.2	3042.0	Palomar	ZTF	ZTF r filter
BOK/BASS.r_filter	6437.6	6353.3	5615	7281	1303.3	3039.1	BOK	90prime	BASS r filter (filter only)
VATT/VATT.r	6438.6	6311.1	5559	8428	1234.2	3046.1	VATT	 	VATT r filter
CTIO/CTIO.6170-590	6438.9	6270.3	5765	12000	675.2	3070.0	CTIO	 	CTIO 6170/590
LICK/LICK.6435_74	6442.1	6441.7	6352	6539	86.1	3057.1	LICK	 	LICK, 6435_74
CAHA/CAHA.642_149	6443.2	6345.5	5415	7614	1417.6	3036.9	CAHA	 	CAHA 642.149, Roeser R2
WHT/PAUCam.NB645	6444.4	6443.4	6344	6545	133.9	3051.5	WHT	PAUCam	PAUCam NB645 filter
CTIO/DECam.r_filter	6444.8	6355.2	5618	7260	1369.1	3036.3	CTIO	DECam	DECam r filter (filter only)
Paranal/SPHERE.ZIMPOL_N_R	6449.1	6431.6	6099	6801	590.9	2993.9	Paranal	SPHERE	ZIMPOL N_R filter
NOT/NOT.093	6449.4	5469.0	3580	9070	5173.2	2910.5	NOT	 	NOT filter 093, GG375 375_LP
Paranal/VIMOS.R	6449.7	6375.5	5608	7231	1286.3	3031.5	Paranal	VIMOS	VIMOS R filter. Total transmission. Average of 4 quadrants.
Paranal/SPHERE.ZIMPOL_Cnt_Ha	6449.8	6449.6	6390	6510	43.9	3052.6	Paranal	SPHERE	ZIMPOL Cnt_Ha filter
CTIO/SOI.bessel_R	6451.0	6327.3	5505	8079	1257.2	3037.8	CTIO	SOI	SOI Bessel R filter
NAOC/BFOSC.R	6451.1	6322.9	5551	8470	1252.7	3039.2	Xinglong	BFOSC	BFOSC R filter
STELLA/WiFSIP.Bessel_R	6451.4	6313.5	5474	8523	1298.9	3040.2	STELLA	WiFSIP	STELLA WiFSIP Bessel R filter
CFHT/CFH12k.Halpha_off	6453.1	6452.5	6362	6543	92.3	3048.2	CFHT	CFH12k	CFH12k Halpha off
CFHT/Megaprime.Halpha_off	6453.1	6452.5	6362	6543	92.3	3048.2	CFHT	Megaprime	Megaprime Halpha off, cfh7604
LaSilla/COMBO17.646nm	6453.3	6446.9	6286	6635	246.8	2960.2	LaSilla	WFI	646/27 WFI filter for COMBO-17
HST/WFC3_UVIS1.F645N	6453.6	6453.2	6383	6522	84.3	3049.2	HST	WFC3	F645N filter for HST WFC3_UVIS1
HST/WFC3_UVIS2.F645N	6453.6	6453.2	6383	6522	84.4	3049.2	HST	WFC3	F645N filter for HST WFC3_UVIS2
LaSilla/WFI.ESO867	6453.8	6447.3	6286	6636	248.0	2959.0	La Silla	WFI	WFI ESO#867 (full)
WFIRST/WFI.R062	6454.1	6157.8	4609	7873	2128.3	3022.3	WFIRST	WFI	WFIRST R062 filter
CFHT/CFHT.cfh4613	6454.4	6400.9	5758	7122	1096.8	3023.6	CFHT	 	cfh4613 Mould R#2
LaSilla/WFI.ESO867_filter	6454.7	6448.2	6286	6636	250.9	2957.0	La Silla	WFI	WFI ESO#867 (filter only)
CAHA/PlanetCam2.VIS_R	6454.8	6322.8	5490	8304	1363.9	3036.9	CAHA	PlanetCam2	PlanetCam2, VIS, R band (filter + ccd)
