#Filter ID	λmean	λeff	λmin	λmax	Weff	ZP (Jy)	Obs. Facility	Instrument	Description
Subaru/HSC.NB387_filter	3858.7	3859.8	3813	3906	56.6	3189.7	Subaru	HSC	HSC NB387 (filter only)
OSN/Comet50.CN	3859.9	3861.1	3800	3931	55.7	3223.9	OSN	 	CN filter, d50, OSN #60
GCPD/DDO.m38	3864.0	3864.0	3612	4148	295.1	3419.9	DDO	 	DDO m38 filter (revised by Mann & von Braun 2104)
FLWO/KeplerCam.NeIII_3869	3870.6	3871.2	3790	3967	54.6	3325.5	FLWO	KeplerCam	KeplerCam NeIII 386.9/5 filter
GCPD/Washington.C_ph	3871.1	3972.9	2900	4900	1125.5	2807.9	 	 	Washington C filter in GCPD, photographic version (ADPS)
NOT/NOT.031	3871.1	3871.4	3806	3960	52.3	3371.3	NOT	 	NOT filter 031, [NeIII] 387_4
OSN/Lines.NeII_3869	3871.6	3871.9	3799	3967	55.5	3338.8	OSN	 	NeII_3869 filter, OSN #e02
Rosetta/OSIRIS_WAC.CN	3873.1	3873.3	3785	3970	58.2	3283.9	Rosetta	OSIRIS_WAC	OSIRIS_WAC CN Filter
HST/WFC3_UVIS1.FQ387N	3873.6	3871.4	3850	3898	33.6	3387.0	HST	WFC3	FQ387N filter for HST WFC3_UVIS1
HST/WFC3_UVIS2.FQ387N	3873.6	3871.4	3850	3898	33.6	3387.0	HST	WFC3	FQ387N filter for HST WFC3_UVIS2
Rosetta/OSIRIS_WAC.F14	3874.6	3874.8	3787	3975	59.6	3286.2	Rosetta	OSIRIS_WAC	OSIRIS_WAC F14 Filter (full)
LICK/LICK.3825_300	3875.7	3898.2	3603	4181	268.9	3084.1	LICK	 	LICK, 3825_300
CTIO/CTIO.3870-50	3876.9	3875.1	3827	3928	40.2	3262.3	CTIO	 	CTIO 3870/50
LICK/LICK.3870_60	3877.9	3878.9	3800	3950	76.0	3319.3	LICK	 	LICK,.3870_60
HST/ACS_HRC.FR388N	3880.5	3881.6	3810	3950	78.6	3360.0	HST	ACS	FR388N ramp filter for HST ACS_HRC at central wavelength
HST/ACS_WFC.FR388N	3881.7	3882.8	3812	3951	76.3	3367.7	HST	ACS	FR388N ramp filter for HST ACS_WFC at central wavelength
LICK/LICK.3875_62	3885.3	3886.4	3800	4000	73.7	3335.5	LICK	 	LICK,.3875_62
HST/WFPC2-WF.F390N	3888.5	3888.5	3838	3938	60.1	3387.9	HST	WFPC2	F390N filter for HST WFPC2 wide field camera (detector 4)
HST/WFPC2-PC.F390N	3888.5	3888.5	3838	3938	60.1	3387.9	HST	WFPC2	F390N filter for HST WFPC2 planetary camera (detector 1)
CAHA/PlanetCam2.VIS_Vio	3891.8	3930.0	3501	4112	304.3	3176.6	CAHA	PlanetCam2	PlanetCam2, VIS, Vio band (filter + ccd)
NAOC/BATC.b	3894.3	3912.4	3648	4117	266.7	3303.2	Xinglong	 	BATC b filter
LICK/LICK.3870_30	3898.1	3901.7	3800	4000	122.3	3436.2	LICK	 	LICK,.3870_30
HST/WFC3_UVIS2.F390M	3898.6	3905.0	3724	4051	204.1	3355.8	HST	WFC3	F390M filter for HST WFC3_UVIS2
HST/WFC3_UVIS1.F390M	3898.9	3905.2	3724	4052	204.1	3357.4	HST	WFC3	F390M filter for HST WFC3_UVIS1
KPNO/MOSAIC.BATC_390	3901.4	3914.2	3695	4144	250.2	3344.1	KPNO	MOSAIC	KPNO Mosaic Windhorst 390nm BATC Medium Band 02 b filter (k1052)
CFHT/CFHT.cfh1302	3902.6	3905.1	3840	3960	55.1	3546.6	CFHT	 	cfh1302 Comet
AAO/AAO.aao71	3904.0	3905.9	3786	4026	167.9	3381.7	AAO	 	AAO #71, ttf 390.17, B1
OAJ/JPAS.J0390	3905.1	3906.6	3811	3997	132.9	3631.0	OAJ	JPCam	JPAS J0390 filter
Astrosat/UVIT.VIS2	3909.0	3909.0	3619	4166	360.3	3274.0	Astrosat	UVIT	UVIT VIS2 filter
LICK/LICK.3871_50	3909.6	3913.1	3800	4000	71.3	3715.2	LICK	 	LICK,.3871_50
HST/WFPC2-WF.FQUVN_C	3913.2	3915.9	3851	3980	76.3	3666.6	HST	WFPC2	FQUVN quad filter (C position) for HST WFPC2 wide field camera
